instrument_expiry_date,product_type,instrument_exchange,instrument_segment,instrument_token,instrument_trading_symbol,instrument_name,start,end,IA7795,DS6699,BI8011
05-06-2021,CNC,NSE,NSE,4583169,ABBOTINDIA,ABBOTINDIA,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,5633,ACC,ACC,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,6401,ADANIENT,ADANIENT,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,3861249,ADANIPORTS,ADANIPORTS,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2995969,ALKEM,ALKEM,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,325121,AMBUJACEM,AMBUJACEM,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,40193,APOLLOHOSP,APOLLOHOSP,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,60417,ASIANPAINT,ASIANPAINT,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,70401,AUROPHARMA,AUROPHARMA,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,1510401,AXISBANK,AXISBANK,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,4267265,BAJAJ-AUTO,BAJAJ-AUTO,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,4268801,BAJAJFINSV,BAJAJFINSV,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,78081,BAJAJHLDNG,BAJAJHLDNG,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,81153,BAJFINANCE,BAJFINANCE,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,579329,BANDHANBNK,BANDHANBNK,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,103425,BERGEPAINT,BERGEPAINT,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2714625,BHARTIARTL,BHARTIARTL,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2911489,BIOCON,BIOCON,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,134657,BPCL,BPCL,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,140033,BRITANNIA,BRITANNIA,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2029825,CADILAHC,CADILAHC,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,177665,CIPLA,CIPLA,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,5215745,COALINDIA,COALINDIA,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,3876097,COLPAL,COLPAL,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,197633,DABUR,DABUR,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2800641,DIVISLAB,DIVISLAB,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,3771393,DLF,DLF,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,5097729,DMART,DMART,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,225537,DRREDDY,DRREDDY,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,232961,EICHERMOT,EICHERMOT,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,1207553,GAIL,GAIL,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,303617,GLAND,GLAND,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,2585345,GODREJCP,GODREJCP,540,930,1,1,1
05-06-2021,CNC,NSE,NSE,315393,GRASIM,GRASIM,540,930,1,1,1
